url,username,password,httpRealm,formActionOrigin,guid,timeCreated,timeLastUsed,timePasswordChanged
https://Pod-010-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-010-vCenter.SDDC.Lab,,,,
https://Pod-010-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-NSXT-GM.SDDC.Lab,,,,
https://Pod-010-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-010-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-NSXT-LM.SDDC.Lab,,,,
https://Pod-010-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-010-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-010-vRLI.SDDC.Lab,,,,
https://Pod-010-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-010-vRLI-1.SDDC.Lab,,,,
https://Pod-010-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-010-vRNI.SDDC.Lab,,,,
https://Pod-010-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-ALB-Controller.SDDC.Lab,,,,
https://Pod-010-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-010-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-010-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-010-Replication-Appliance.SDDC.Lab,,,,
https://Pod-020-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-020-vCenter.SDDC.Lab,,,,
https://Pod-020-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-NSXT-GM.SDDC.Lab,,,,
https://Pod-020-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-020-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-NSXT-LM.SDDC.Lab,,,,
https://Pod-020-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-020-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-020-vRLI.SDDC.Lab,,,,
https://Pod-020-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-020-vRLI-1.SDDC.Lab,,,,
https://Pod-020-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-020-vRNI.SDDC.Lab,,,,
https://Pod-020-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-ALB-Controller.SDDC.Lab,,,,
https://Pod-020-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-020-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-020-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-020-Replication-Appliance.SDDC.Lab,,,,
https://Pod-030-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-030-vCenter.SDDC.Lab,,,,
https://Pod-030-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-NSXT-GM.SDDC.Lab,,,,
https://Pod-030-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-030-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-NSXT-LM.SDDC.Lab,,,,
https://Pod-030-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-030-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-030-vRLI.SDDC.Lab,,,,
https://Pod-030-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-030-vRLI-1.SDDC.Lab,,,,
https://Pod-030-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-030-vRNI.SDDC.Lab,,,,
https://Pod-030-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-ALB-Controller.SDDC.Lab,,,,
https://Pod-030-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-030-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-030-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-030-Replication-Appliance.SDDC.Lab,,,,
https://Pod-040-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-040-vCenter.SDDC.Lab,,,,
https://Pod-040-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-NSXT-GM.SDDC.Lab,,,,
https://Pod-040-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-040-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-NSXT-LM.SDDC.Lab,,,,
https://Pod-040-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-040-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-040-vRLI.SDDC.Lab,,,,
https://Pod-040-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-040-vRLI-1.SDDC.Lab,,,,
https://Pod-040-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-040-vRNI.SDDC.Lab,,,,
https://Pod-040-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-ALB-Controller.SDDC.Lab,,,,
https://Pod-040-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-040-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-040-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-040-Replication-Appliance.SDDC.Lab,,,,
https://Pod-050-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-050-vCenter.SDDC.Lab,,,,
https://Pod-050-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-NSXT-GM.SDDC.Lab,,,,
https://Pod-050-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-050-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-NSXT-LM.SDDC.Lab,,,,
https://Pod-050-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-050-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-050-vRLI.SDDC.Lab,,,,
https://Pod-050-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-050-vRLI-1.SDDC.Lab,,,,
https://Pod-050-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-050-vRNI.SDDC.Lab,,,,
https://Pod-050-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-ALB-Controller.SDDC.Lab,,,,
https://Pod-050-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-050-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-050-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-050-Replication-Appliance.SDDC.Lab,,,,
https://Pod-060-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-060-vCenter.SDDC.Lab,,,,
https://Pod-060-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-NSXT-GM.SDDC.Lab,,,,
https://Pod-060-NSXT-GM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-NSXT-GM-1.SDDC.Lab,,,,
https://Pod-060-NSXT-LM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-NSXT-LM.SDDC.Lab,,,,
https://Pod-060-NSXT-LM-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-NSXT-LM-1.SDDC.Lab,,,,
https://Pod-060-vRLI.SDDC.Lab,admin,VMware1!,,https://Pod-060-vRLI.SDDC.Lab,,,,
https://Pod-060-vRLI-1.SDDC.Lab,admin,VMware1!,,https://Pod-060-vRLI-1.SDDC.Lab,,,,
https://Pod-060-vRNI.SDDC.Lab,admin@local,VMware1!,,https://Pod-060-vRNI.SDDC.Lab,,,,
https://Pod-060-ALB-Controller.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-ALB-Controller.SDDC.Lab,,,,
https://Pod-060-ALB-Controller-1.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-060-ALB-Controller-1.SDDC.Lab,,,,
https://Pod-060-Replication-Appliance.SDDC.Lab,admin,VMware1!,,https://Pod-060-Replication-Appliance.SDDC.Lab,,,,
https://Pod-070-vCenter.SDDC.Lab,administrator@vsphere.local,VMware1!,,https://Pod-070-vCenter.SDDC.Lab,,,,
https://Pod-070-NSXT-GM.SDDC.Lab,admin,VMware1!VMware1!,,https://Pod-070-NSXT-GM.SDDC.Lab,,,,
